ScientificName	Lineage	Superorder	VGP_genome	existing_genome	VGP_genome-length	existing_genome-length	VGP_UR	existing_UR	VGP_HCRM	existing_HCRM	VGP_RR	existing_RR	existing_to_VGP_RR_ratio
Nycticebus_coucang	Mammals	Supraprimates (Euarchontoglires)	GCF_027406575.1	GCA_963573995.1	2913025487	2554283665	0.77	0.88	23.87	28.08	0.23	0.12	1.14285714285714
Tupaia_tana	Mammals	Supraprimates (Euarchontoglires)	GCA_026018925.1	GCA_026018925.1	2948106822	2948106822	0.79	0.79	103.87	103.87	0.21	0.21	1
Tamandua_tetradactyla	Mammals	Xenarthra	GCA_023851605.1	GCA_004025105.1	3187808873	3784292240	0.82	0.67	16.77	24.23	0.18	0.33	0.817073170731707
Choloepus_didactylus	Mammals	Xenarthra	GCF_015220235.1	GCA_004027855.1	3133668571	3314028441	0.79	0.7	19.18	121.07	0.21	0.3	0.886075949367089
Dasypus_novemcinctus	Mammals	Xenarthra	GCF_030445035.2	GCA_000208655.4	3598761786	3290233378	0.75	0.81	14.61	12.23	0.25	0.19	1.08
Dugong_dugon	Mammals	Afrotheria	GCA_030035585.1	GCA_040182945.1	3158460090	2991467723	0.77	0.8	31.18	21.75	0.23	0.2	1.03896103896104
Heterohyrax_brucei	Mammals	Afrotheria	GCA_028571685.1	GCA_004026845.1	3487980576	3588617712	0.81	0.79	129.91	61.73	0.19	0.21	0.975308641975309
Loxodonta_africana	Mammals	Afrotheria	GCF_030014295.1	GCA_000001905.1	3537154513	3115666562	0.72	0.8	13.39	12.77	0.28	0.2	1.11111111111111
Elephas_maximus_indicus	Mammals	Afrotheria	GCF_024166365.1	GCA_036984225.1	3397907767	3074927550	0.75	0.82	19.85	12.66	0.25	0.18	1.09333333333333
Phascolarctos_cinereus	Mammals	Marsupials	GCA_003287225.2	GCA_900166895.1	3192507684	3366786339	0.89	0.85	150.2	184.76	0.11	0.15	0.955056179775281
Macrotis_lagotis	Mammals	Marsupials	GCA_037893015.1	GCA_037893015.1	3642881862	3642881862	0.81	0.81	146.9	146.9	0.19	0.19	1
Sarcophilus_harrisii	Mammals	Marsupials	GCA_048593225.1	GCA_007988765.1	3228447521	2924378345	0.8	0.91	94.12	79.08	0.2	0.09	1.1375
Sminthopsis_crassicaudata	Mammals	Marsupials	GCA_048593235.1	GCA_048593235.1	3238533941	3238533941	0.83	0.83	181.55	181.55	0.17	0.17	1
Dromiciops_gliroides	Mammals	Marsupials	GCF_019393635.1	GCA_024323085.1	3300261601	3206250432	0.86	0.86	167.15	124.1	0.14	0.14	1
Monodelphis_domestica	Mammals	Marsupials	GCF_027887165.1	GCA_000002295.1	3553414450	3499038814	0.82	0.83	200.97	148.11	0.18	0.17	1.01219512195122
Ornithorhynchus_anatinus	Mammals	Monotremes	GCF_004115215.2	GCA_000002275.2	1844098757	1828872794	0.82	0.75	49.18	44.87	0.18	0.25	0.914634146341463
Tachyglossus_aculeatus	Mammals	Monotremes	GCF_015852505.1	GCA_015598185.1	2182161818	1975103956	0.71	0.76	139.94	108.11	0.29	0.24	1.07042253521127
Podarcis_siculus	Reptiles	Squamata	GCA_964188175.1	GCA_034642415.1	1567827907	1382246561	0.75	0.83	210.5	90.26	0.25	0.17	1.10666666666667
Podarcis_muralis	Reptiles	Squamata	GCA_964188315.1	GCA_004329235.1	1522445610	1507898006	0.77	0.75	106.77	84.79	0.23	0.25	0.974025974025974
Zootoca_vivipara	Reptiles	Squamata	GCF_963506605.1	GCA_011800845.1	1440080856	1418566478	0.8	0.8	153.58	138.1	0.2	0.2	1
Shinisaurus_crocodilurus	Reptiles	Squamata	GCA_021292165.1	GCA_021292165.1	2189837729	2189837729	0.68	0.68	52.66	52.66	0.32	0.32	1
Tiliqua_scincoides	Reptiles	Squamata	GCA_035046505.1	GCA_047292575.1	1623236252	1655903275	0.8	0.95	76.68	35.62	0.2	0.05	1.1875
Caretta_caretta	Reptiles	Testudines (Cryptodira)	GCA_965140235.1	GCA_965117115.1	2216649678	2145574978	0.82	0.85	45.62	44.65	0.18	0.15	1.03658536585366
Chelonia_mydas	Reptiles	Testudines (Cryptodira)	GCF_015237465.2	GCA_000344595.1	2122403208	2102134520	0.86	0.83	28.85	26.88	0.14	0.17	0.965116279069767
Dermochelys_coriacea	Reptiles	Testudines (Cryptodira)	GCF_009764565.3	GCA_006547105.1	2159146238	2104919821	0.84	0.86	78.65	68.24	0.16	0.14	1.02380952380952
Carettochelys_insculpta	Reptiles	Testudines (Cryptodira)	GCA_033958435.1	GCA_007922185.1	2180310287	2280768427	0.85	0.76	48.69	15.13	0.15	0.24	0.894117647058824
Podocnemis_expansa	Reptiles	Testudines (Pleurodira)	GCA_045364815.1	GCA_007922195.1	2565285338	2396938126	0.81	0.86	166.99	14.99	0.19	0.14	1.06172839506173
Gavialis_gangeticus	Reptiles	Crocodylia	GCA_030020295.1	GCA_001723915.1	2327422208	1935161891	0.85	0.92	27.02	15.34	0.15	0.08	1.08235294117647
Alligator_mississippiensis	Reptiles	Crocodylia	GCF_030867095.1	GCA_000281125.4	2330331346	2107127716	0.85	0.94	25.97	13.38	0.15	0.0600000000000001	1.10588235294118
Eudromia_elegans	Birds	Palaeognathae	GCA_047922985.1	GCA_003342815.1	1109626533	906844668	0.85	0.98	179.43	28.72	0.15	0.02	1.15294117647059
Dromaius_novaehollandiae	Birds	Palaeognathae	GCF_036370855.1	GCA_003342905.1	1468668310	1137814943	0.78	0.99	83.37	10.19	0.22	0.01	1.26923076923077
Rhea_pennata	Birds	Palaeognathae	GCF_028389875.1	GCA_003342835.1	1267555861	1121264969	0.9	0.98	51.32	20.81	0.1	0.02	1.08888888888889
Clangula_hyemalis	Birds	GalloAnserformes	GCA_963989345.1	GCA_029619115.1	1205970943	1075394010	0.88	0.93	84.75	37.41	0.12	0.07	1.05681818181818
Aythya_fuligula	Birds	GalloAnserformes	GCF_009819795.1	GCA_050125195.1	1117579288	1061346366	0.95	0.94	59.4	21.26	0.05	0.0600000000000001	0.989473684210526
Anas_acuta	Birds	GalloAnserformes	GCF_963932015.1	GCA_036026395.1	1189140357	1099558111	0.89	0.96	111.64	40.14	0.11	0.04	1.07865168539326
Anas_platyrhynchos	Birds	GalloAnserformes	GCA_964188345.1	GCA_030704485.1	1300089575	1038035381	0.82	0.99	95.4	41.06	0.18	0.01	1.20731707317073
Branta_canadensis	Birds	GalloAnserformes	GCA_965231335.1	GCA_006130075.1	1311758682	1133648114	0.83	0.95	317.55	19.23	0.17	0.05	1.14457831325301
Anser_cygnoides	Birds	GalloAnserformes	GCF_040182565.1	GCA_002166845.1	1215344334	1098726208	0.89	0.98	262.75	22.26	0.11	0.02	1.10112359550562
Anser_brachyrhynchus	Birds	GalloAnserformes	GCA_964034855.1	GCA_002592135.1	1287054759	1097234638	0.84	0.98	400.6	18.1	0.16	0.02	1.16666666666667
Anser_anser	Birds	GalloAnserformes	GCA_964211835.1	GCA_049942455.1	1313216575	1129951486	0.82	0.97	366.57	19.17	0.18	0.03	1.18292682926829
Cygnus_columbianus	Birds	GalloAnserformes	GCA_965151615.1	GCA_049176835.1	1289515361	1100389732	0.84	0.98	689.4	18.72	0.16	0.02	1.16666666666667
Gallus_gallus	Birds	GalloAnserformes	GCF_016700215.2	GCA_002798355.1	1045994378	1001225607	0.93	0.96	50.4	18.53	0.07	0.04	1.03225806451613
Porphyrio_hochstetteri	Birds	Core waterbirds	GCA_020800305.1	GCA_035610435.1	1264963074	1105258122	0.87	0.97	107.34	6.03	0.13	0.03	1.11494252873563
Balearica_regulorum_gibbericeps	Birds	Core waterbirds	GCA_011004875.1	GCA_000709895.1	1216248275	1120155427	0.95	0.98	11.49	8.13	0.05	0.02	1.03157894736842
Grus_grus	Birds	Core waterbirds	GCA_964106855.1	GCA_045788445.1	1352123544	1188074529	0.84	0.95	105.24	6.52	0.16	0.05	1.13095238095238
Grus_americana	Birds	Core waterbirds	GCF_028858705.1	GCA_013390085.1	1252482259	1137897440	0.9	0.97	187.68	5.09	0.1	0.03	1.07777777777778
Larus_michahellis	Birds	Core waterbirds	GCA_964199755.1	GCA_045784605.1	1405447958	1172253675	0.82	0.96	106.63	6.02	0.18	0.04	1.17073170731707
Larus_argentatus	Birds	Core waterbirds	GCA_964417175.1	GCA_028571125.1	1417715464	1151167715	0.81	0.98	119.22	4.76	0.19	0.02	1.20987654320988
Rissa_tridactyla	Birds	Core waterbirds	GCF_028500815.1	GCA_013401015.1	1352804758	1162065165	0.85	0.98	205.55	3.07	0.15	0.02	1.15294117647059
Alca_Torda	Birds	Core waterbirds	GCA_008658365.1	GCA_013398245.1	1174921793	1148169330	0.96	0.97	14.21	7.25	0.04	0.03	1.01041666666667
Numenius_arquata	Birds	Core waterbirds	GCA_964106895.1	GCA_046244895.1	1348641213	1156486356	0.83	0.98	55.34	7.01	0.17	0.02	1.18072289156627
Pluvialis_apricaria	Birds	Core waterbirds	GCA_017639485.1	GCA_045783575.1	1235461525	1206037204	0.95	0.95	16.47	6.06	0.05	0.05	1
Vanellus_vanellus	Birds	Core waterbirds	GCA_965231255.1	GCA_041043765.1	1476335506	1210084958	0.78	0.98	342.23	6.59	0.22	0.02	1.25641025641026
Pelecanus_crispus	Birds	Core waterbirds	GCA_030463565.1	GCA_000687375.1	1314488916	1153061900	0.89	0.97	35.85	11.74	0.11	0.03	1.08988764044944
Phalacrocorax_carbo	Birds	Core waterbirds	GCF_963921805.1	GCA_000708925.1	1283500069	1125321568	0.9	0.98	79.91	8.31	0.1	0.02	1.08888888888889
Morus_bassanus	Birds	Core waterbirds	GCA_031468815.1	GCA_045787545.1	1294734656	1185527139	0.89	0.96	29.81	4.27	0.11	0.04	1.07865168539326
Ciconia_maguari	Birds	Core waterbirds	GCA_017639555.1	GCA_013399255.1	1217216075	1181165577	0.96	0.97	8.1	3.79	0.04	0.03	1.01041666666667
Spheniscus_humboldti	Birds	Core waterbirds	GCA_027474245.1	GCA_023170095.1	1357290987	1215781114	0.87	0.97	123.97	15.85	0.13	0.03	1.11494252873563
Calonectris_borealis	Birds	Core waterbirds	GCA_964195595.2	GCA_013401115.1	1366073588	1162018390	0.86	0.99	21.69	2.29	0.14	0.01	1.15116279069767
Gavia_stellata	Birds	Core waterbirds	GCF_030936135.1	GCA_000690875.1	1321177350	1119008513	0.87	0.99	149.77	7.05	0.13	0.01	1.13793103448276
Rhynochetos_jubatus	Birds	Core waterbirds	GCA_027574665.1	GCA_013398095.1	1330915667	1104451839	0.83	0.97	277.98	13.13	0.17	0.03	1.16867469879518
Opisthocomus_hoazin	Birds	Core waterbirds	GCA_030867145.1	GCA_000692075.1	1482385808	1138877057	0.78	0.95	318.12	14.61	0.22	0.05	1.21794871794872
Hemiprocne_comata	Birds	Caprimulgimorphae	GCA_020745705.1	GCA_013396855.1	1154627676	1115491818	0.94	0.95	24.19	8.21	0.0600000000000001	0.05	1.01063829787234
Podargus_strigoides	Birds	Caprimulgimorphae	GCA_028020825.1	GCA_013399755.1	1268936941	1125051278	0.84	0.94	391.46	5.17	0.16	0.0600000000000001	1.11904761904762
Nyctibius_grandis	Birds	Caprimulgimorphae	GCF_013368605.1	GCA_013399155.1	1250241344	1142828680	0.9	0.96	13.17	9.53	0.1	0.04	1.06666666666667
Caprimulgus_europaeus	Birds	Caprimulgimorphae	GCA_907165065.1	GCA_045788555.1	1177757157	1165850728	0.94	0.89	24	12.65	0.0600000000000001	0.11	0.946808510638298
Columba_livia	Birds	Columbea	GCF_036013475.1	GCA_000337935.2	1325485586	1084068937	0.81	0.96	523.63	20.52	0.19	0.04	1.18518518518519
Caloenas_nicobarica	Birds	Columbea	GCF_036013445.1	GCA_013398195.1	1285515962	1017411443	0.84	0.98	570.13	8.92	0.16	0.02	1.16666666666667
Pterocles_gutturalis	Birds	Columbea	GCA_009769525.1	GCA_000699245.1	1123109270	1062503937	0.95	0.98	11.18	9.98	0.05	0.02	1.03157894736842
Phoenicopterus_ruber	Birds	Columbea	GCA_009819775.1	GCA_000687265.1	1237613716	1123685453	0.94	0.98	6.35	3.43	0.0600000000000001	0.02	1.04255319148936
Tauraco_erythrolophus	Birds	Otidimorphae	GCA_009769465.1	GCA_000709365.1	1225856338	1144694501	0.93	0.96	10.84	9.89	0.07	0.04	1.03225806451613
Chlamydotis_macqueenii	Birds	Otidimorphae	GCA_036417535.1	GCA_011800025.1	1273900449	1139437187	0.87	0.95	74.71	17.11	0.13	0.05	1.09195402298851
Cuculus_canorus	Birds	Otidimorphae	GCF_017976375.1	GCA_000709325.1	1175200880	1124263599	0.94	0.94	21.19	9.75	0.0600000000000001	0.0600000000000001	1
Buteo_buteo	Birds	Core landbirds	GCA_964188355.1	GCA_025504755.1	1303576271	1183524266	0.89	0.98	61.1	4.82	0.11	0.02	1.10112359550562
Haliaeetus_albicilla	Birds	Core landbirds	GCF_947461875.1	GCA_013398555.1	1320212734	1196687898	0.88	0.95	109.14	16.18	0.12	0.05	1.07954545454545
Astur_gentilis	Birds	Core landbirds	GCF_929443795.1	GCA_012487025.1	1397955687	1173956075	0.84	0.98	152.53	13.16	0.16	0.02	1.16666666666667
Sarcoramphus_papa	Birds	Core landbirds	GCA_037962945.1	GCA_027580115.1	1543911590	1176140812	0.76	0.99	557.61	4.88	0.24	0.01	1.30263157894737
Strix_aluco	Birds	Core landbirds	GCA_031877795.1	GCA_045787325.1	1410475270	1177787971	0.83	0.96	388.46	5.87	0.17	0.04	1.1566265060241
Athene_noctua	Birds	Core landbirds	GCA_965140245.1	GCA_045787465.1	1355722691	1197965905	0.85	0.95	245.11	7.76	0.15	0.05	1.11764705882353
Leptosomus_discolor	Birds	Core landbirds	GCA_034619465.1	GCA_000691785.1	1331976988	1129741026	0.86	0.98	151.4	4.64	0.14	0.02	1.13953488372093
Bucorvus_abyssinicus	Birds	Core landbirds	GCA_009769605.1	GCA_013398885.1	1124513539	1097045312	0.96	0.98	19.8	4.1	0.04	0.02	1.02083333333333
Merops_nubicus	Birds	Core landbirds	GCA_009819595.1	GCA_000691845.1	1143289800	1055384676	0.93	0.98	12.51	12.51	0.07	0.02	1.05376344086022
Dryobates_pubescens	Birds	Core landbirds	GCF_014839835.1	GCA_000699005.1	1183925554	1120088247	0.85	0.87	102.17	58.83	0.15	0.13	1.02352941176471
Colius_striatus	Birds	Core landbirds	GCF_028858725.1	GCA_000690715.1	1206623881	1068731039	0.88	0.97	36.33	8.56	0.12	0.03	1.10227272727273
Cariama_cristata	Birds	Core landbirds	GCA_009819825.1	GCA_000690535.1	1210303254	1124564643	0.96	0.99	6.32	4.55	0.04	0.01	1.03125
Falco_cherrug	Birds	Core landbirds	GCF_023634085.1	GCA_000337975.1	1305407138	1148716829	0.88	0.98	228.13	6.77	0.12	0.02	1.11363636363636
Falco_biarmicus	Birds	Core landbirds	GCF_023638135.1	GCA_024433245.1	1283322825	1157332725	0.9	0.98	156.55	2.17	0.1	0.02	1.08888888888889
Falco_peregrinus	Birds	Core landbirds	GCF_023634155.1	GCA_001887755.1	1304624774	1097178125	0.88	0.98	207.72	5.7	0.12	0.02	1.11363636363636
Agelaius_phoeniceus	Birds	Core landbirds	GCF_020745825.1	GCA_013398535.1	1188480099	1057535233	0.86	0.95	44.43	9.59	0.14	0.05	1.1046511627907
Zonotrichia_albicollis	Birds	Core landbirds	GCA_047830755.1	GCA_000385455.1	1278882695	1004869170	0.81	0.97	81.67	12.35	0.19	0.03	1.19753086419753
Haemorhous_mexicanus	Birds	Core landbirds	GCF_027477595.1	GCA_046619145.1	1137011472	1172161483	0.89	0.85	56.84	40.84	0.11	0.15	0.955056179775281
Passer_domesticus	Birds	Core landbirds	GCF_036417665.1	GCA_001700915.1	1310074482	998217438	0.78	0.98	169.44	8.77	0.22	0.02	1.25641025641026
Lonchura_striata_domestica	Birds	Core landbirds	GCA_046129695.1	GCA_005870125.1	1207509632	1027813272	0.82	0.96	128.32	43.4	0.18	0.04	1.17073170731707
Erithacus_rubecula	Birds	Core landbirds	GCA_903797595.2	GCA_013398395.1	1086387504	963661394	0.91	0.99	50.12	65.58	0.09	0.01	1.08791208791209
Oenanthe_melanoleuca	Birds	Core landbirds	GCF_029582105.1	GCA_029582105.1	1036163525	1036180291	0.94	0.94	49.8	49.8	0.0600000000000001	0.0600000000000001	1
Cinclus_cinclus	Birds	Core landbirds	GCF_963662255.1	GCA_045783075.1	1170677377	1022021096	0.85	0.97	91.34	17.91	0.15	0.03	1.14117647058824
Sylvia_borin	Birds	Core landbirds	GCA_014839755.1	GCA_013400015.1	1043807432	1018195752	0.97	0.97	39.84	15.34	0.03	0.03	1
Sylvia_atricapilla	Birds	Core landbirds	GCF_009819655.1	GCA_013398435.1	1054861080	983108020	0.95	0.98	46.03	71.15	0.05	0.02	1.03157894736842
Hirundo_rustica	Birds	Core landbirds	GCF_015227805.1	GCA_013399815.1	1080369569	1037121138	0.93	0.97	44	22.23	0.07	0.03	1.04301075268817
Poecile_atricapillus	Birds	Core landbirds	GCF_030490865.1	GCA_013398625.1	1250153363	1015149311	0.78	0.98	67.78	12.76	0.22	0.02	1.25641025641026
Lycocorax_pyrrhopterus	Birds	Core landbirds	GCA_014706295.1	GCA_014706395.1	1101913043	1050800072	0.93	0.97	18.43	4.93	0.07	0.03	1.04301075268817
Corvus_moneduloides	Birds	Core landbirds	GCF_009650955.1	GCA_013398675.1	1083852079	1043580454	0.95	0.97	25.62	17.22	0.05	0.03	1.02105263157895
Willisornis_vidua	Birds	Core landbirds	GCA_045364795.1	GCA_029286905.1	1233183087	1030906730	0.85	0.97	122.68	8.29	0.15	0.03	1.14117647058824
Acanthisitta_chloris	Birds	Core landbirds	GCA_016904835.1	GCA_000695815.1	1073159673	1027489036	0.95	0.97	18.69	14.98	0.05	0.03	1.02105263157895
Melopsittacus_undulatus	Birds	Core landbirds	GCF_012275295.1	GCA_000238935.1	1168346882	1084380125	0.89	0.94	32.27	11.69	0.11	0.0600000000000001	1.0561797752809
Amazona_ochrocephala	Birds	Core landbirds	GCA_039720435.1	GCA_032360005.1	1361823828	565880956	0.78	0.56	316.74	10.09	0.22	0.44	0.717948717948718
Ara_ararauna	Birds	Core landbirds	GCA_028858755.1	GCA_010014805.2	1223361479	1119467531	0.86	0.96	63.47	18.11	0.14	0.04	1.11627906976744
Guaruba_guaruba	Birds	Core landbirds	GCA_045345405.1	GCA_011800095.2	1366080856	1142243337	0.78	0.95	190.59	16.64	0.22	0.05	1.21794871794872
