taxon_id,taxon_rank,scientific_name,assembly_id,bioproject,ucsc_assembly_name,refseq_accession,assembly_name,assembly_id,order,class,busco_completeness,assembly_level,assembly_span,contig_n50,scaffold_n50,contig_l50,scaffold_l50,contig_count,scaffold_count,chromosome_count,n_percent,assembly_status,biosample_representative,V25,last_updated,sample_sex,assembly_type,refseq_category,submitter,ebp_standard_criteria,V32
9986,species,Oryctolagus cuniculus,GCA_009806435.2,,GCA_009806435.2,GCF_009806435.1,UM_NZW_1.0,GCA_009806435.2,Lagomorpha,Mammalia,NA,Chromosome,2'841'489'785,337'730,111'644'748,2'279,10,21'334,3'159,22,,primary,primary,,2021-02-04,male,haploid,,Shanghai Institutes for Biological Sciences,,
9999,species,Urocitellus parryii,GCA_003426925.1,,,GCF_003426925.1,ASM342692v1,GCA_003426925.1,Rodentia,Mammalia,NA,Scaffold,2'520'505'282,91'013,3'964'291,6'919,175,79'883,15'884,,,primary,primary,,2018-08-24,male,haploid,,UAF,,
10090,species,Mus musculus,GCA_001624295.1,,GCA_001624295.1,,AKR_J_v1,GCA_001624295.1,Rodentia,Mammalia,NA,Chromosome,2'712'691'254,23'042,132'982'296,29'369,9,242'284,5'952,20,,,primary,,2016-04-26,female,haploid,,Wellcome Trust Sanger Institute,,
10116,species,Rattus norvegicus,GCA_000001895.4,PRJNA10629,,GCF_000001895.5,Rnor_6.0,GCA_000001895.4,Rodentia,Mammalia,92.1,Chromosome,2'870'167'880,100'461,14'986'627,7'356,65,75'696,1'394,22,4.89,primary,primary,,2014-07-01,pooled male and female,haploid,,Rat Genome Sequencing Consortium,,
10129,species,Apodemus sylvaticus,GCA_001305905.1,,,,ASM130590v1,GCA_001305905.1,Rodentia,Mammalia,NA,Scaffold,3'758'143'898,1'208,245'982,460'539,3'805,3'342'720,559'629,,,,primary,,2015-10-02,not determined,haploid,,University of Liverpool,,
10166,species,Ctenodactylus gundi,GCA_004027205.1,PRJNA399344,GCA_004027205.1,,CteGun_v1_BIUU,GCA_004027205.1,Rodentia,Mammalia,89.4,Scaffold,2'322'471'743,218'543,354'548,3'042,1'820,865'110,860'073,,0.02,primary,primary,,2019-01-16,missing,haploid,reference genome,Broad Institute,,
13013,species,Clarias gariepinus,GCA_030014235.1,,,,ASM3001423v1,GCA_030014235.1,Siluriformes,Actinopteri,NA,Scaffold,924'137'414,9'577,29'867'262,24'149,13,192'092,46'932,,,,primary,,2023-05-15,not determined,haploid,,Iridian Genomes,,
13146,species,Melopsittacus undulatus,GCA_000238935.1,PRJNA72527,,GCF_000238935.1,Melopsittacus_undulatus_6.3,GCA_000238935.1,Psittaciformes,Aves,92.4,Scaffold,1'117'355'426,55'633,10'614'383,5'478,28,70'862,25'211,,0,primary,primary,,2012-01-02,male,haploid,,The Genome Institute,  Washington University at St. Louis,,
13397,species,Carcharodon carcharias,GCA_003604245.1,,,,ASM360424v1,GCA_003604245.1,Lamniformes,Chondrichthyes,NA,Scaffold,3'915'280'839,46'102,2'991'981,23'307,330,182'231,9'222,,,,primary,,2018-10-01,female,haploid,,Cornell University,,
13616,species,Monodelphis domestica,GCA_000002295.1,PRJNA12561,,GCF_000002295.2,MonDom5,GCA_000002295.1,Didelphimorphia,Mammalia,88.2,Chromosome,3'600'487'649,107'990,527'952'102,9'459,3,72'811,5'137,9,2.75,primary,primary,,2007-01-25,,haploid,,The Genome Sequencing Platform, The Genome Assembly Team,,
27615,species,Kogia breviceps,GCA_004363705.1,PRJNA399466,GCA_004363705.1,,KogBre_v1_BIUU,GCA_004363705.1,Artiodactyla,Mammalia,63.5,Scaffold,2'759'698'159,26'201,28'812,27'952,25'050,1'258'125,1'252'072,,0.02,,primary,,2019-03-22,missing,haploid,,Broad Institute,,
27675,species,Choloepus didactylus,GCA_004027855.1,,GCA_004027855.1,,ChoDid_v1_BIUU,GCA_004027855.1,Pilosa,Mammalia,NA,Scaffold,3'390'661'301,7'167,7'289,117'573,112'830,2'537'432,2'532'333,,,,primary,,2019-01-16,missing,haploid,,Broad Institute,,
27697,species,Sardina pilchardus,GCA_049901815.1,,,,sardPilCibio2019,GCA_049901815.1,Clupeiformes,Actinopteri,NA,Scaffold,921'261'535,62'574,35'124'745,3'827,12,23'740,2'751,,,,primary,,2025-04-24,male,haploid,,CIBIO-InBIO,,
27704,species,Gobio gobio,GCA_021464655.1,PRJNA770886,,,fGobGob41.pri.20210311,GCA_021464655.1,Cypriniformes,Actinopteri,97.3,Chromosome,1'550'158'453,3'305'918,55'293'470,116,12,2'089,687,25,3.59,,primary,,2022-01-18,not determined,haploid,,The Max Planck Institute of Molecular Cell Biology and Genetics,6.7;6.C,
27706,species,Micropterus salmoides,GCA_014851395.1,,,GCF_014851395.1,ASM1485139v1,GCA_014851395.1,Centrarchiformes,Actinopteri,97.9,Scaffold,963'597'430,1'227'323,36'481'429,202,12,7'661,4'752,,0.15,primary,primary,,2020-10-05,female,haploid,,Biozeron Shenzhen Inc.,,
27794,species,Dermochelys coriacea,GCA_006547105.1,,,,GSC_toitle_1.0,GCA_006547105.1,Testudines,,NA,Scaffold,2'154'166'173,45'261,120'030,14'298,5'294,97'740,56'317,,,,primary,,2019-07-01,female,haploid,,Canada's Genomic Enterprise,,
28680,species,Anas acuta,GCA_036026395.1,,,,ASM3602639v1,GCA_036026395.1,Anseriformes,Aves,NA,Scaffold,1'150'928'901,8'738,76'135'208,31'616,5,286'806,70'748,,,,primary,,2024-01-25,not determined,haploid,,Iridian Genomes,,
28689,species,Alca Torda,GCA_013398245.1,,,,ASM1339824v1,GCA_013398245.1,Charadriiformes,Aves,NA,Scaffold,1'162'045'472,48'979,240'911,6'645,1'278,84'245,39'768,,,,primary,,2020-07-10,missing,haploid,,B10K Consortium,,
28792,species,Cyprinella venusta,GCA_027361055.1,,,,ASM2736105v1,GCA_027361055.1,Cypriniformes,Actinopteri,NA,Scaffold,805'420'949,2'850,28'434'641,65'882,13,332'600,109'502,,,,primary,,2022-12-27,not determined,haploid,,Iridian Genomes,,
29065,species,Martes martes,GCA_040938825.1,,,,mmar.min_150.pseudohap2.1_HiC.purged,GCA_040938825.1,Carnivora,Mammalia,NA,Chromosome,2'399'650'029,331'070,144'638'580,2'137,7,35'566,20'048,19,,,primary,,2024-07-30,female,haploid,,Institute for Molecular and Cellular biology,,
29078,species,Eptesicus fuscus,GCA_000308155.1,,,GCF_000308155.1,EptFus1.0,GCA_000308155.1,Chiroptera,Mammalia,NA,Scaffold,2'026'629'342,21'392,13'454'942,24'180,39,167'058,6'789,,,primary,primary,,2012-11-08,,haploid,,Broad Institute,,
29137,species,Dugong dugon,GCA_040182945.1,,,,ASM4018294v1,GCA_040182945.1,Sirenia,Mammalia,NA,Chromosome,3'061'735'718,272'829,136'909'105,3'262,9,22'906,2'919,25,,,primary,,2024-06-14,missing,haploid,,Institute of Deep-sea Science and Engineering,,
29151,species,Osmerus eperlanus,GCA_900302275.1,PRJEB12469,,,ASM90030227v1,GCA_900302275.1,Osmeriformes,Actinopteri,58,Scaffold,342'758'722,4'524,6'820,21'105,13'139,99'348,73'274,,0.21,,primary,,2018-03-18,,haploid,,CEES,,
30397,species,Buteo buteo,GCA_025504755.1,,,,ASM2550475v1,GCA_025504755.1,Accipitriformes,Aves,NA,Scaffold,1'210'975'031,43'468,36'474'558,7'851,13,68'286,12'826,,,,primary,,2022-09-30,not determined,haploid,,Iridian Genomes,,
30419,species,Opisthocomus hoazin,GCA_000692075.1,PRJNA212873,,GCF_000692075.1,ASM69207v1,GCA_000692075.1,Opisthocomiformes,Aves,95.4,Scaffold,1'203'712'246,28'179,2'937'227,11'760,122,109'627,10'256,,5.1000000000000000,primary,primary,,2014-05-19,female,haploid,,BGI,,
30427,species,Haemorhous mexicanus,GCA_046619145.1,,,,CA_2_hap2,GCA_046619145.1,Passeriformes,Aves,NA,Scaffold,1'172'260'973,1'062'611,1'069'778,273,272,3'308,3'302,,,,primary,,2025-01-14,male,haploid,,Harvard University,,
30640,species,Sciurus carolinensis,GCA_028643795.1,,,,Sciurus_carolinensis_HiC,GCA_028643795.1,Rodentia,Mammalia,NA,Chromosome,3'182'857'308,16'665,37'295'854,40'579,17,2'117'925,2'067'066,20,,,primary,,2023-02-16,female,haploid,,DNA Zoo,,
31033,species,Takifugu rubripes,GCA_000180615.2,PRJNA1434,,GCF_000180615.1,FUGU5,GCA_000180615.2,Tetraodontiformes,Actinopteri,96.1,Chromosome,391'468'268,52'883,928'938,1'722,113,30'860,7'090,22,10.35,primary,primary,,2011-10-13,male,haploid,,The Fugu Genome Sequencing Consortium,,
31919,species,Numenius arquata,GCA_046244895.1,,,,ASM4624489v1,GCA_046244895.1,Charadriiformes,Aves,NA,Scaffold,1'199'220'776,27'499,69'653'385,11'133,7,101'949,9'764,,,,primary,,2024-12-21,not determined,haploid,,Iridian Genomes,,
33562,species,Dromiciops gliroides,GCA_024323085.1,,,,ASM2432308v1,GCA_024323085.1,Microbiotheria,Mammalia,NA,Scaffold,3'367'545'867,18'188,17'937'952,52'673,60,405'426,42'774,,,,primary,,2022-07-19,male,haploid,,BGI,,
34773,species,Alosa sapidissima,GCA_019202745.1,,,,Alosa.v1,GCA_019202745.1,Clupeiformes,Actinopteri,NA,Chromosome,920'207'828,1'150'608,37'994'265,215,11,2'309,273,24,,,primary,,2021-07-13,male,haploid,,OE Biotech.co.Ltd,6.7;6.C,
34787,species,Tautogolabrus adspersus,GCA_024362835.1,,,,NL-cnr,GCA_024362835.1,Labriformes,Actinopteri,NA,Scaffold,640'618'147,31'219,2'297'518,5'473,76,32'845,3'283,,,,primary,,2022-07-21,not determined,haploid,,Memorial University of Newfoundland,,
34844,species,Erethizon dorsatum,GCA_006547115.1,,,,GSC_porc_1.0,GCA_006547115.1,Rodentia,Mammalia,NA,Scaffold,2'436'547'097,118'744,16'680'019,6'007,42,54'415,15'915,,,,primary,,2019-07-01,female,haploid,,Canada's Genomic Enterprise,,
35669,species,Larus argentatus,GCA_028571125.1,,,,ASM2857112v1,GCA_028571125.1,Charadriiformes,Aves,NA,Scaffold,1'184'346'518,28'599,81'770'679,11'430,5,99'307,17'990,,,,primary,,2023-02-09,not determined,haploid,,Iridian Genomes,,
36239,species,Mustela nivalis vulgaris,GCA_019141155.1,,,,MusNiv_Pri1.0,GCA_019141155.1,Carnivora,Mammalia,NA,Scaffold,2'501'163'219,195'927,24'899'452,3'746,29,60'040,31'994,,,primary,primary,,2021-07-06,male,haploid,reference genome,CIBIO-InBIO,,
36239,species,Mustela nivalis vulgaris,GCA_048197165.1,,,,ASM4819716v1,GCA_048197165.1,Carnivora,Mammalia,NA,Chromosome,2'452'185'984,199'370,138'366'223,3'634,8,45'467,16'700,21,,,primary,,2025-02-28,male,haploid,,Institute of Molecular and Cellular Biology SB RAS,,
36300,species,Pelecanus crispus,GCA_000687375.1,PRJNA212901,,GCF_000687375.1,ASM68737v1,GCA_000687375.1,Pelecaniformes,Aves,88.7,Scaffold,1'160'924'693,21'679,43'364,16'160,7'852,121'562,63'982,,0.31,primary,primary,,2014-05-09,male,haploid,,BGI,,
37040,species,Gavia stellata,GCA_000690875.1,PRJNA212895,,GCF_000690875.1,ASM69087v1,GCA_000690875.1,Gaviiformes,Aves,88.6,Scaffold,1'129'677'294,24'321,45'532,13'686,7'094,126'712,61'830,,0.54,primary,primary,,2014-05-13,male,haploid,,BGI,,
37174,species,Ovis canadensis,GCA_004026945.1,,GCA_004026945.1,,OviCan_v1_BIUU,GCA_004026945.1,Artiodactyla,Mammalia,NA,Scaffold,2'863'658'823,55'973,69'397,14'306,11'415,1'057'548,1'048'136,,,,primary,,2019-01-16,male,haploid,,Broad Institute,,
37578,species,Morus bassanus,GCA_045787545.1,,,,ASM4578754v1,GCA_045787545.1,Suliformes,Aves,NA,Scaffold,1'295'798'393,153'415,6'240'037,2'099,51,33'993,20'087,,,,primary,,2024-12-06,male,haploid,,Bird 10,000 Genomes (B10K) consortium,,
37610,species,Erithacus rubecula,GCA_013398395.1,,,,ASM1339839v1,GCA_013398395.1,Passeriformes,Aves,NA,Scaffold,979'843'765,73'144,2'955'106,3'855,90,29'557,2'673,,,,primary,,2020-07-10,male,haploid,,B10K Consortium,,
38626,species,Phascolarctos cinereus,GCA_900166895.1,,,,phaCin_tgac_v2.0,GCA_900166895.1,Diprotodontia,Mammalia,NA,Scaffold,3'603'908'365,126'882,798'273,7'804,1'246,819'636,796'464,,,,primary,,2018-05-04,,haploid,,KOALA GENOME CONSORTIUM,,
38674,species,Onychomys torridus,GCA_004026725.1,,GCA_004026725.1,,OnyTor_v1_BIUU,GCA_004026725.1,Rodentia,Mammalia,NA,Scaffold,3'202'219'269,18'287,20'878,41'931,35'645,2'272'285,2'261'735,,,,primary,,2019-01-16,missing,haploid,,Broad Institute,,
39082,species,Muscardinus avellanarius,GCA_004027005.1,,GCA_004027005.1,,MusAve_v1_BIUU,GCA_004027005.1,Rodentia,Mammalia,NA,Scaffold,2'527'147'110,44'294,59'013,16'126,12'037,481'881,466'805,,,,primary,,2019-01-16,missing,haploid,,Broad Institute,,
39638,species,Agelaius phoeniceus,GCA_013398535.1,PRJNA545868,,,ASM1339853v1,GCA_013398535.1,Passeriformes,Aves,90.9,Scaffold,1'086'309'140,78'381,1'693'451,3'691,166,75'155,42'265,,2.43,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
40151,species,Monodon monocero,GCA_029941395.3,,,,S_20_00708_Flye_assembly_V1.1,GCA_029941395.3,Artiodactyla,Mammalia,NA,Chromosome,2'335'257'954,597'131,83'769'834,992,12,14'616,6'368,22,,,primary,,2024-04-10,male,haploid,,Government of Canada,,
40157,species,Lonchura striata domestica,GCA_005870125.1,,,GCF_005870125.1,lonStrDom2,GCA_005870125.1,Passeriformes,Aves,NA,Chromosome,1'060'252'993,100'423,71'975'342,2'867,6,33'370,2'014,31,,primary,primary,,2019-06-05,male,haploid,,HHMI/UCSF,,
40816,species,Grus grus,GCA_045788445.1,,,,ASM4578844v1,GCA_045788445.1,Gruiformes,Aves,NA,Scaffold,1'213'727'039,107'628,335'542,2'918,902,64'832,54'184,,,,primary,,2024-12-06,missing,haploid,,Bird 10,000 Genomes (B10K) consortium,,
42254,species,Sorex araneus,GCA_000181275.2,,,GCF_000181275.2,SorAra2.0,GCA_000181275.2,Eulipotyphla,Mammalia,NA,Scaffold,2'423'158'183,22'623,22'794'405,27'146,36,201'798,12'845,,,primary,primary,,2012-08-27,female,haploid,,Broad Institute,,
42514,species,Pygocentrus nattereri,GCA_001682695.1,,,GCF_001682695.1,Pygocentrus_nattereri-1.0.2,GCA_001682695.1,Characiformes,Actinopteri,NA,Scaffold,1'285'335'786,57'732,1'440'044,5'642,199,325'619,283'517,,,primary,primary,,2016-07-12,female,haploid,,McDonnell Genome Institute,,
43150,species,Hirundo rustica,GCA_013399815.1,,,,ASM1339981v1,GCA_013399815.1,Passeriformes,Aves,NA,Scaffold,1'043'753'555,119'850,675'769,2'361,409,31'555,13'084,,,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
43566,species,Rhinophrynus dorsalis,GCA_048287495.1,,,,ASM4828749v1,GCA_048287495.1,Anura,Amphibia,NA,Scaffold,3'909'782'496,802,812,1'596'406,1'577'105,4'957'053,4'833'232,,,,primary,,2025-03-03,not determined,haploid,,Iridian Genomes,,
43583,species,Sarcoramphus papa,GCA_027580115.1,,,,ASM2758011v1,GCA_027580115.1,Accipitriformes,Aves,NA,Scaffold,1'227'506'220,21'983,36'647'746,15'747,13,122'654,14'173,,,,primary,,2023-01-06,female,haploid,,Iridian Genomes,,
44394,species,Zonotrichia albicollis,GCA_000385455.1,PRJNA197293,,GCF_000385455.1,Zonotrichia_albicollis-1.0.1,GCA_000385455.1,Passeriformes,Aves,90.5,Scaffold,1'052'600'561,112'748,4'866'725,2'385,52,37'661,6'018,,4.4,primary,primary,,2013-04-30,male,haploid,,White-throated sparrow consortium,,
44489,species,Carettochelys insculpta,GCA_007922185.1,,,,Carettochelys_insculpta-1.0,GCA_007922185.1,Testudines,,NA,Scaffold,2'356'570'494,116'202,45'881'824,5'690,16,84'201,48'450,,,,primary,,2019-08-05,male,haploid,,McDonnell Genome Institute - Washington University School of Medicine,,
44507,species,Podocnemis expansa,GCA_007922195.1,PRJNA512135,,,Podocnemis_expansa-1.0,GCA_007922195.1,Testudines,,96.8,Scaffold,2'447'092'617,134'824,37'101'370,5'195,21,74'735,43'498,,1.96,,primary,,2019-08-05,male,haploid,,McDonnell Genome Institute - Washington University School of Medicine,,
48155,species,Sylvia atricapilla,GCA_013398435.1,,,,ASM1339843v1,GCA_013398435.1,Passeriformes,Aves,NA,Scaffold,1'017'094'937,57'175,16'014'248,5'107,18,33'244,123,,,,primary,,2020-07-10,male,haploid,,B10K Consortium,,
48171,species,Chelon labrosus,GCA_029874265.1,,,,ASM2987426v1,GCA_029874265.1,Mugiliformes,Actinopteri,NA,Scaffold,684'572'026,4'649,4'930,38'228,35'526,504'764,496'251,,,,primary,,2023-04-26,not determined,haploid,,Faculty of Sciences from the University of Lisbon,,
48427,species,Nyctibius grandis,GCA_013399155.1,,,,ASM1339915v1,GCA_013399155.1,Caprimulgiformes,Aves,NA,Scaffold,1'154'230'834,64'960,158'961,4'757,1'654,81'647,55'068,,,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
48668,species,Rutilus rutilus,GCA_029875115.1,,,,ASM2987511v1,GCA_029875115.1,Cypriniformes,Actinopteri,NA,Scaffold,868'408'531,1'535,1'552,137'221,135'154,1'185'296,1'181'299,,,,primary,,2023-04-26,not determined,haploid,,Faculty of Sciences from the University of Lisbon,,
48744,species,Hyperoodon ampullatus,GCA_024363105.1,,,,DAL_HAmp_1,GCA_024363105.1,Artiodactyla,Mammalia,NA,Scaffold,2'351'343'742,55'734,132'887,11'956,4'219,115'181,67'105,,,,primary,,2022-07-21,,haploid,,Dalhousie University,,
48745,species,Mesoplodon bidens,GCA_004027085.1,PRJNA399476,GCA_004027085.1,,MesBid_v1_BIUU,GCA_004027085.1,Artiodactyla,Mammalia,67.2,Scaffold,2'797'694'783,28'959,33'532,25'790,21'694,1'810'317,1'801'720,,0.03,,primary,,2019-01-16,missing,haploid,,Broad Institute,,
48849,species,Passer domesticus,GCA_001700915.1,PRJNA255814,,,Passer_domesticus-1.0,GCA_001700915.1,Passeriformes,Aves,95.1,Chromosome,1'042'703'894,51'426,6'373'860,5'263,50,50'328,2'570,30,4.12,,primary,,2016-08-31,female,haploid,,Sparrow Genome Consortium,,
48850,species,Tamandua tetradactyla,GCA_004025105.1,,GCA_004025105.1,,TamTet_v1_BIUU,GCA_004025105.1,Pilosa,Mammalia,NA,Scaffold,3'849'374'830,18'654,19'789,49'529,45'977,2'150'023,2'144'204,,,,primary,,2019-01-15,missing,haploid,,Broad Institute,,
48891,species,Poecile atricapillus,GCA_013398625.1,,,,ASM1339862v1,GCA_013398625.1,Passeriformes,Aves,NA,Scaffold,1'047'311'074,109'509,11'311'321,2'589,23,33'478,3'149,,,,primary,,2020-07-10,male,haploid,,B10K Consortium,,
51298,species,Myotis myotis,GCA_004026985.1,,GCA_004026985.1,,MyoMyo_v1_BIUU,GCA_004026985.1,Chiroptera,Mammalia,NA,Scaffold,2'294'472'406,19'322,21'824,31'447,27'249,1'053'330,1'045'197,,,,primary,,2019-01-16,missing,haploid,,Broad Institute,,
51337,species,Jaculus jaculus,GCA_000280705.1,,GCA_000280705.1,GCF_000280705.1,JacJac1.0,GCA_000280705.1,Rodentia,Mammalia,NA,Scaffold,2'835'233'679,15'675,22'080'993,44'339,36,337'361,10'897,,,primary,primary,,2012-07-30,,haploid,,Broad Institute,,
51338,species,Castor canadensis,GCA_001984765.1,,,GCF_001984765.1,C.can genome v1.0,GCA_001984765.1,Rodentia,Mammalia,NA,Scaffold,2'518'306'565,273'954,317'708,2'431,2'073,24'477,21'157,,,primary,primary,,2017-02-04,male,haploid,,Hospital for Sick Children,,
51906,species,Guaruba guaruba,GCA_011800095.2,,,,ASM1180009v2,GCA_011800095.2,Psittaciformes,Aves,NA,Scaffold,1'175'317'798,19'329,29'847,16'283,11'512,279'568,239'936,,,,primary,,2022-07-21,female,haploid,,IRIDIAN GENOMES,,
52224,species,Shinisaurus crocodilurus,GCA_021292165.1,,GCA_021292165.1,,IOZ_Scro_1.0,GCA_021292165.1,Squamata,Lepidosauria,NA,Chromosome,2'189'995'079,3'338'364,296'945'371,196,4,2'405,1'553,16,,primary,primary,,2021-12-28,female,haploid,reference genome,Institute of Zoology, Chinese Academy of Sciences,6.7;6.C,
52777,species,Ciconia maguari,GCA_013399255.1,,,,ASM1339925v1,GCA_013399255.1,Ciconiiformes,Aves,NA,Scaffold,1'200'886'088,66'040,367'223,4'991,936,82'444,33'984,,,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
52904,species,Scophthalmus maximus,GCA_003186165.1,PRJEB11743,,,ASM318616v1,GCA_003186165.1,Pleuronectiformes,Actinopteri,96.8,Chromosome,524'979'463,54'836,24'811'384,2'472,10,21'326,22,22,2.36,,primary,,2018-06-05,,haploid,,CNAG,,
54380,species,Cariama cristata,GCA_000690535.1,PRJNA212889,,GCF_000690535.1,ASM69053v1,GCA_000690535.1,Cariamiformes,Aves,90.7,Scaffold,1'132'245'425,24'645,55'197,13'705,5'958,112'704,53'474,,0.34,primary,primary,,2014-05-12,male,haploid,,BGI,,
54386,species,Rhynochetos jubatus,GCA_013398095.1,PRJNA545868,,,ASM1339809v1,GCA_013398095.1,Eurypygiformes,Aves,96.4,Scaffold,1'116'409'996,91'152,965'071,3'370,317,48'838,13'191,,0.8,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
55661,species,Cuculus canorus,GCA_000709325.1,PRJNA212870,,GCF_000709325.1,ASM70932v1,GCA_000709325.1,Cuculiformes,Aves,96.8,Scaffold,1'153'894'225,38'137,2'989'832,8'811,119,71'907,14'930,,2.38,primary,primary,,2014-06-17,male,haploid,,BGI,,
56723,species,Labrus bergylta,GCA_900080235.1,PRJEB13687,,GCF_900080235.1,BallGen_V1,GCA_900080235.1,Labriformes,Actinopteri,96.9,Scaffold,805'480'521,703'847,794'648,282,252,13'723,13'466,,0.02,primary,primary,,2016-05-03,female,haploid,,National Institute of nutrition and seafood research,,
57060,species,Eleutherodactylus coqui,GCA_019857665.1,PRJNA578591,,,UCB_Ecoq_1.0,GCA_019857665.1,Anura,Amphibia,78.8,Chromosome,2'789'347'782,10'856,109'467'076,54'726,8,480'031,105'233,13,15.08,,primary,,2021-09-16,male,haploid,,University of California, Berkeley,,
57068,species,Acanthisitta chloris,GCA_000695815.1,PRJNA212877,,GCF_000695815.1,ASM69581v1,GCA_000695815.1,Passeriformes,Aves,81.6,Scaffold,1'035'876'403,20'602,64'469,14'656,4'486,120'312,53'875,,0.42,primary,primary,,2014-05-27,female,haploid,,BGI,,
57412,species,Colius striatus,GCA_000690715.1,PRJNA212892,,GCF_000690715.1,ASM69071v1,GCA_000690715.1,Coliiformes,Aves,83.7,Scaffold,1'075'931'597,25'860,46'063,12'120,6'512,114'650,70'188,,0.31,primary,primary,,2014-05-13,male,haploid,,BGI,,
57421,species,Merops nubicus,GCA_000691845.1,PRJNA212898,,GCF_000691845.1,ASM69184v1,GCA_000691845.1,Coraciiformes,Aves,81.9,Scaffold,1'062'961'556,24'675,48'089,12'573,6'132,104'131,53'499,,0.42,primary,primary,,2014-05-16,female,haploid,,BGI,,
58319,species,Scardinius erythrophthalmus,GCA_024453875.1,,GCA_024453875.1,,ASM2445387v1,GCA_024453875.1,Cypriniformes,Actinopteri,NA,Chromosome,1'135'838'337,5'525'349,43'047'924,65,11,528,110,25,,,primary,,2022-07-27,Unknown,haploid,,The Max Planck Institute of Molecular Cell Biology and Genetics,6.7;6.C,
58324,species,Phoxinus phoxinus,GCA_037504845.1,,,,fPhoPho.hap2,GCA_037504845.1,Cypriniformes,Actinopteri,NA,Chromosome,929'446'345,4'586'804,36'599'732,60,11,517,81,25,,,primary,,2024-03-25,male,haploid,,Leibniz Institute for the analysis of biodiversity change,6.7;6.C,
59474,species,Pipistrellus pipistrellus,GCA_004026625.1,,GCA_004026625.1,,PipPip_v1_BIUU,GCA_004026625.1,Chiroptera,Mammalia,NA,Scaffold,2'090'670'443,26'707,33'992,20'199,15'278,736'974,726'104,,,,primary,,2019-01-16,male,haploid,,Broad Institute,,
59477,species,Rhinolophus affinis,GCA_040057535.1,,,,ASM4005753v1,GCA_040057535.1,Chiroptera,Mammalia,NA,Chromosome,2'025'198'401,201'316,92'909'886,2'245,10,21'259,60,32,,,primary,,2024-06-04,male,haploid,,Shaanxi Normal University,,
59479,species,Rhinolophus ferrumequinum,GCA_007922735.1,,,,RhiFer_v1_BIUU,GCA_007922735.1,Chiroptera,Mammalia,NA,Scaffold,2'183'991'669,127'195,156'956,4'794,3'803,349'275,345'321,,,,primary,,2019-08-08,female,haploid,,Broad Institute,,
61452,species,Neofelis nebulosa,GCA_027422525.1,,,,ASM2742252v1,GCA_027422525.1,Carnivora,Mammalia,NA,Scaffold,2'412'500'541,76'652,1'367'838,8'882,481,79'933,11'908,,,,primary,,2022-12-27,male,haploid,,Smithsonian Institution,,
64108,species,Zeus faber,GCA_900323335.1,PRJEB12469,,,ASM90032333v1,GCA_900323335.1,Zeiformes,Actinopteri,48.4,Scaffold,610'433'400,4'642,6'332,39'018,28'338,172'424,135'758,,0.17,,primary,,2018-03-26,,haploid,,CEES,,
64144,species,Anabas testudineus,GCA_900302665.1,PRJEB12469,,,ASM90030266v1,GCA_900302665.1,Anabantiformes,Actinopteri,90.9,Scaffold,524'844'595,18'817,50'227,7'873,2'932,52'219,23'072,,0.2,,primary,,2018-03-19,,haploid,,CEES,,
64176,species,Podarcis muralis,GCA_004329235.1,,,GCF_004329235.1,PodMur_1.0,GCA_004329235.1,Squamata,Lepidosauria,NA,Chromosome,1'511'002'858,714'612,92'398'148,622,7,6'245,2'160,19,,primary,primary,,2019-03-07,male,haploid,,CIBIO-InBIO,,
65484,species,Podarcis siculus,GCA_034642415.1,,,,UCBerk_Psic_1,GCA_034642415.1,Squamata,Lepidosauria,NA,Scaffold,1'430'801'131,70'246,27'224'046,5'706,15,49'502,16'675,,,,primary,,2023-12-26,female,haploid,,Faculty of Science, University of Zagreb,,
69293,species,Gasterosteus aculeatus,GCA_006229165.1,PRJNA525775,,,NID,GCA_006229165.1,Perciformes,Actinopteri,93.5,Scaffold,467'452'432,38'090,3'715'221,3'273,33,32'646,10'242,,3.19,,primary,,2019-06-11,female,haploid,,Institute of Ecology and Evolution,,
70687,species,Tupaia tana,GCA_026018925.1,,GCA_026018925.1,,mTupTan1,GCA_026018925.1,Scandentia,Mammalia,NA,Scaffold,2'948'277'345,7'301'848,112'954'644,97,8,2'385,1'197,,,primary,primary,,2022-11-07,missing,haploid,reference genome,University of California, Davis,,
71010,species,Tiliqua scincoides,GCA_047292575.1,,,,ASM4729257v1,GCA_047292575.1,Squamata,Lepidosauria,NA,Scaffold,1'812'522'348,1'742,1'990,282'097,190'114,1'229'222,1'150'419,,,,primary,,2025-01-28,not determined,haploid,,Iridian Genomes,,
72105,species,Sebastes umbrosus,GCA_916701575.1,,,,S-umbrosus_SEB-10,GCA_916701575.1,Perciformes,Actinopteri,NA,Scaffold,976'903'690,3'823'502,31'724'414,70,14,2'655,841,,,,primary,,2021-11-13,,haploid,,UNIVERSITY OF CALIFORNIA AT BERKELEY,,
73324,species,Sylvia borin,GCA_013400015.1,,,,ASM1340001v1,GCA_013400015.1,Passeriformes,Aves,NA,Scaffold,1'036'635'967,55'510,729'727,5'095,364,88'649,31'497,,,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
